segment_id,relative_path,duration_sec,snr_db,sample_rate,transcript_te,is_reference_candidate
grandma_clip_0076,data\training_dataset\grandma_clip_0076.wav,4.05,40.0,24000,,False
grandma_clip_0077,data\training_dataset\grandma_clip_0077.wav,9.06,49.83,24000,,False
grandma_clip_0078,data\training_dataset\grandma_clip_0078.wav,4.05,59.05,24000,,False
grandma_clip_0079,data\training_dataset\grandma_clip_0079.wav,5.31,57.99,24000,గేమ్ ఉండ విశేష అవు ఉంటాయికి ఇవే విశేష అవు,True
grandma_clip_0080,data\training_dataset\grandma_clip_0080.wav,4.05,40.0,24000,,False
grandma_clip_0081,data\training_dataset\grandma_clip_0081.wav,4.59,47.91,24000,,False
grandma_clip_0082,data\training_dataset\grandma_clip_0082.wav,5.1,54.29,24000,గీతకు మర్ది కొడుకు,True
grandma_clip_0083,data\training_dataset\grandma_clip_0083.wav,4.05,40.0,24000,,False
grandma_clip_0084,data\training_dataset\grandma_clip_0084.wav,6.12,49.3,24000,,False
grandma_clip_0085,data\training_dataset\grandma_clip_0085.wav,7.68,40.0,24000,,False
grandma_clip_0086,data\training_dataset\grandma_clip_0086.wav,4.05,75.9,24000,,False
grandma_clip_0087,data\training_dataset\grandma_clip_0087.wav,4.05,40.0,24000,,False
grandma_clip_0088,data\training_dataset\grandma_clip_0088.wav,4.05,40.0,24000,,False
grandma_clip_0089,data\training_dataset\grandma_clip_0089.wav,4.05,40.0,24000,,False
grandma_clip_0090,data\training_dataset\grandma_clip_0090.wav,4.05,40.0,24000,,False
grandma_clip_0091,data\training_dataset\grandma_clip_0091.wav,4.05,40.0,24000,,False
grandma_clip_0092,data\training_dataset\grandma_clip_0092.wav,4.05,40.0,24000,,False
grandma_clip_0093,data\training_dataset\grandma_clip_0093.wav,6.69,49.29,24000,,False
grandma_clip_0094,data\training_dataset\grandma_clip_0094.wav,7.83,40.0,24000,,False
grandma_clip_0095,data\training_dataset\grandma_clip_0095.wav,4.05,40.0,24000,,False
grandma_clip_0096,data\training_dataset\grandma_clip_0096.wav,4.2,45.36,24000,,False
grandma_clip_0097,data\training_dataset\grandma_clip_0097.wav,4.92,43.88,24000,,False
grandma_clip_0098,data\training_dataset\grandma_clip_0098.wav,4.92,43.86,24000,,False
grandma_clip_0099,data\training_dataset\grandma_clip_0099.wav,4.05,40.0,24000,,False
